250	250	0.51
250	500	0.39
250	750	0.46
250	1000	0.35
250	1250	0.86
250	1500	0.44
250	1750	0.93
250	2000	1.0
500	500	1.0
500	750	1.0
500	1000	1.0
500	1250	1.0
500	1500	1.0
500	1750	1.0
500	2000	1.0
750	750	1.0
750	1000	1.0
750	1250	1.0
750	1500	0.44
750	1750	1.0
750	2000	1.0
1000	1000	1.0
1000	1250	1.0
1000	1500	1.0
