100	100	0.52
100	200	0.33
100	300	0.33
100	400	0.24
100	500	0.26
100	600	0.35
100	700	0.57
100	800	0.38
100	900	0.36
100	1000	0.13
200	100	0.65
200	200	0.34
200	300	0.05
200	400	0.54
200	500	0.64
200	600	0.37
200	700	0.63
200	800	0.84
200	900	0.74
200	1000	0.32
300	100	0.57
300	200	1.0
300	300	0.96
300	400	0.92
300	500	1.0
300	600	0.99
300	700	1.0
300	800	1.0
300	900	1.0
300	1000	1.0
400	100	0.49
400	200	0.0
400	300	0.36
400	400	1.0
400	500	1.0
400	600	0.98
400	700	1.0
400	800	0.87
400	900	0.9
400	1000	0.99
500	100	0.56
500	200	0.98
500	300	0.85
500	400	0.82
500	500	1.0
500	600	1.0
500	700	1.0
500	800	0.83
500	900	0.41
500	1000	0.69
600	100	1.0
600	200	1.0
600	300	1.0
600	400	0.59
600	500	0.29
600	600	0.96
600	700	0.98
600	800	1.0
600	900	1.0
600	1000	0.9
700	100	1.0
700	200	1.0
700	300	1.0
700	400	0.43
700	500	0.0
700	600	0.0
700	700	0.04
700	800	0.0
700	900	0.09
700	1000	0.39
800	100	1.0
800	200	1.0
800	300	0.86
800	400	0.2
800	500	0.76
800	600	0.0
800	700	0.0
800	800	0.0
800	900	0.0
800	1000	0.35
900	100	0.84
900	200	0.08
900	300	0.21
900	400	1.0
900	500	1.0
900	600	1.0
900	700	0.99
900	800	1.0
900	900	1.0
900	1000	1.0
1000	100	1.0
